1   29   0e  0e
2   2    16  16
3   3    1e  1e
4   4    26  26
5   5    25  25
6   6    2e  2e
7   7    36  36
8   8    3d  3d
9   9    3e  3e
10  a    46  46
11  b    45  45
12  c    4e  4e
13  d    55  55
14  e    66  66
16  f   0d 0d
17  10  15 15
18  11  1d 1d
19  12  24 24
20  13  2d 2d
21  14  2c 2c
22  15  35 35
23  16  3c 3c
24  17  43 43
25  18  44 44
26  19  4d 4d
27  1a  54 54
28  1b  5b 5b
29  2b  5d 5d
30  3a  58 58
31  1e  1c 1c
32  1f  1b 1b
33  20  23 23
34  21  2b 2b
35  22  34 34
36  23  33 33
37  24  3b 3b
38  25  42 42
39  26  4b 4b
40  27  4c 4c
41  28  52 52
42  2b  5d 5d
43  1c  5a 5a
44  2a  12 12
45  56  61 61
46  2c  1a 1a 
47  2d  22 22
48  2e  21 21
49  2f  2a 2a
50  30  32 32
51  31  31 31
52  32  3a 3a
53  33  41 41
54  34  49 49
55  35  4a 4a
57  36  59 59
58  1d  14 14
60  38  11 11
61  39  29 29
62  e0,38   e0,11 39
64  e0,1d   e0,14 58
75  e0,52   e0,70   67
76  e0,53   e0,71   64
79  e0,4b   e0,6b   61
80  e0,47   e0,6c   6e
81  e0,4f   e0,69   65
83  e0,48   e0,75   63
84  e0,50   e0,72   60
85  e0,49   e0,7d   6f
86  e0,51   e0,7a   6d
89  e0,4d   e0,74   6a
90  45  77 76
91  47  6c 6c
92  4b  6b 6b
93  4f  69 69
95  e0,35   e0,4a 77
96  48  75 75
97  4c  73 73
98  50  72 72
99  52  70 70
100  37 7c 7c
101  49 7d 7d
102  4d 74 74
103  51 7a 7a
104  53 71 71
105  4a 7b 84
106  4e 79 7c
108  e0,1c  e0,5a 79
110  01 76 08
112  3b 05 07
113  3c 06 0f
114  3d 04 17
115  3e 0c 1f
116  3f 03 27
117  40 0b 2f
118  41 83 37
119  42 0a 3b
120  43 01 47
121  44 09 4f
122  57 78 56
123  58 07 5e
124  e0,2a,e0,37    e0,12,e0,7c 57
125  46 7e 5f
126  e1,1d,45,e1,9d,c5  e1,14,77,e1,f0,14,f0,77 62
